Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Parking type,Parking spaces,Longitude,Latitude,Location
2019,529,556146,556146,88-90 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91972,-37.79716,"-37.79716, 144.91972"
2019,529,556147,556147,92-94 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91979,-37.79724,"-37.79724, 144.91979"
2019,529,556148,556148,96-98 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91986,-37.79731,"-37.79731, 144.91986"
2019,529,556149,556149,100-102 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91992,-37.79738,"-37.79738, 144.91992"
2019,529,556169,556169,79-81 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91993,-37.79682,"-37.79682, 144.91993"
2019,529,558187,558187,56 Wakefield Street KENSINGTON VIC 3031,Kensington,Residential,1,144.9196,-37.79761,"-37.79761, 144.9196"
2019,529,558188,558188,54 Wakefield Street KENSINGTON VIC 3031,Kensington,Residential,1,144.91965,-37.79758,"-37.79758, 144.91965"
2019,529,558189,558189,52 Wakefield Street KENSINGTON VIC 3031,Kensington,Residential,1,144.9197,-37.79755,"-37.79755, 144.9197"
2019,529,559380,559380,6 Anderson Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92026,-37.79674,"-37.79674, 144.92026"
2019,529,560414,560414,14-16 Anderson Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92033,-37.79683,"-37.79683, 144.92033"
2019,529,560419,560419,47 Goldsbrough Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.91955,-37.79742,"-37.79742, 144.91955"
2019,529,560420,560420,49 Goldsbrough Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.91959,-37.79746,"-37.79746, 144.91959"
2019,529,570821,570821,37 Goldsbrough Walk KENSINGTON VIC 3031,Kensington,Residential,1,144.91937,-37.79722,"-37.79722, 144.91937"
2019,529,570822,570822,39 Goldsbrough Walk KENSINGTON VIC 3031,Kensington,Residential,1,144.9194,-37.79726,"-37.79726, 144.9194"
2019,531,111113,111113,2-4 Sambell Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92251,-37.79546,"-37.79546, 144.92251"
2019,531,111125,111125,53-55 Newton Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92261,-37.79573,"-37.79573, 144.92261"
2019,531,111127,111127,61-63 Newton Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92283,-37.79564,"-37.79564, 144.92283"
2019,531,111309,111309,20 Leicester Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92167,-37.79624,"-37.79624, 144.92167"
2019,531,111312,111312,13 Newton Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92179,-37.79642,"-37.79642, 144.92179"
2019,531,111313,111313,15 Newton Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92186,-37.79638,"-37.79638, 144.92186"
2019,531,111316,111316,25 Newton Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92211,-37.79624,"-37.79624, 144.92211"
2019,531,111317,111317,27-31 Newton Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92213,-37.79613,"-37.79613, 144.92213"
2019,531,111318,111318,37-39 Leicester Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92201,-37.79599,"-37.79599, 144.92201"
2019,531,111322,111322,51 Leicester Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92203,-37.79619,"-37.79619, 144.92203"
2019,531,111429,111429,65-67 Mercantile Parade KENSINGTON VIC 3031,Kensington,Residential,2,144.92141,-37.79631,"-37.79631, 144.92141"
2019,531,111431,111431,71 Mercantile Parade KENSINGTON VIC 3031,Kensington,Residential,1,144.92152,-37.79641,"-37.79641, 144.92152"
2019,531,111464,111464,16 Sambell Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92127,-37.79614,"-37.79614, 144.92127"
2019,531,111465,111465,18 Sambell Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92122,-37.79617,"-37.79617, 144.92122"
2019,531,555938,555938,6 Sambell Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92149,-37.79601,"-37.79601, 144.92149"
2019,531,555939,555939,8-10 Sambell Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92144,-37.79604,"-37.79604, 144.92144"
2019,531,556209,556209,30 Sambell Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92186,-37.7958,"-37.7958, 144.92186"
2019,531,556210,556210,32 Sambell Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92181,-37.79582,"-37.79582, 144.92181"
2019,531,556212,556212,36 Sambell Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92173,-37.79587,"-37.79587, 144.92173"
2019,531,560334,560334,117-119 Newman Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92293,-37.79524,"-37.79524, 144.92293"
2019,531,573364,573364,22 Frearson Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92373,-37.79533,"-37.79533, 144.92373"
2019,532,100673,100673,7-9 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92597,-37.79348,"-37.79348, 144.92597"
2019,532,100682,100682,27 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92523,-37.79391,"-37.79391, 144.92523"
2019,532,100684,100684,31 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92504,-37.79401,"-37.79401, 144.92504"
2019,532,100685,100685,33 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,2,144.9249,-37.7941,"-37.7941, 144.9249"
2019,532,100694,100694,51-55 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92422,-37.79449,"-37.79449, 144.92422"
2019,532,103367,103367,15 Epsom Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92671,-37.7935,"-37.7935, 144.92671"
2019,532,103368,103368,17 Epsom Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92664,-37.79343,"-37.79343, 144.92664"
2019,532,108308,108308,64 The Ridgeway KENSINGTON VIC 3031,Kensington,Residential,1,144.92425,-37.79487,"-37.79487, 144.92425"
2019,532,108312,108312,54 The Ridgeway KENSINGTON VIC 3031,Kensington,Residential,1,144.92458,-37.79468,"-37.79468, 144.92458"
2019,532,108321,108321,32 The Ridgeway KENSINGTON VIC 3031,Kensington,Residential,2,144.92527,-37.79429,"-37.79429, 144.92527"
2019,532,108324,108324,26 The Ridgeway KENSINGTON VIC 3031,Kensington,Residential,1,144.92553,-37.79413,"-37.79413, 144.92553"
2019,532,108334,108334,2 The Ridgeway KENSINGTON VIC 3031,Kensington,Residential,2,144.92644,-37.79362,"-37.79362, 144.92644"
2019,533,100716,100716,24 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92519,-37.79341,"-37.79341, 144.92519"
2019,533,100877,100877,1 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,5,144.92543,-37.79286,"-37.79286, 144.92543"
2019,533,100881,100881,9-13 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,5,144.92511,-37.79298,"-37.79298, 144.92511"
2019,533,100888,100888,29 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92447,-37.79334,"-37.79334, 144.92447"
2019,533,103373,103373,27 Epsom Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92618,-37.79295,"-37.79295, 144.92618"
2019,533,103376,103376,33 Epsom Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92599,-37.79276,"-37.79276, 144.92599"
2019,535,100698,100698,64 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92358,-37.79432,"-37.79432, 144.92358"
2019,535,100701,100701,58 Bangalore Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92395,-37.79412,"-37.79412, 144.92395"
2019,535,100895,100895,"Unit 1, 57 Bayswater Road KENSINGTON VIC 3031",Kensington,Residential,2,144.92335,-37.79386,"-37.79386, 144.92335"
2019,535,100899,100899,65 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,12,144.92313,-37.79411,"-37.79411, 144.92313"
2019,535,100902,100902,75-77 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,1,144.9227,-37.79435,"-37.79435, 144.9227"
2019,535,100903,100903,79 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,3,144.92257,-37.79443,"-37.79443, 144.92257"
2019,535,100904,100904,81 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,5,144.92243,-37.7945,"-37.7945, 144.92243"
2019,535,100905,100905,83 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92229,-37.79459,"-37.79459, 144.92229"
2019,535,106902,106902,98-140 Newman Street KENSINGTON VIC 3031,Kensington,Residential,32,144.92194,-37.79477,"-37.79477, 144.92194"
2019,535,564967,564967,158 Newman Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92301,-37.79464,"-37.79464, 144.92301"
2019,535,564969,564969,162 Newman Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92314,-37.79456,"-37.79456, 144.92314"
2019,536,106905,106905,79-81 Newman Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92157,-37.7951,"-37.7951, 144.92157"
2019,536,108687,108687,15-17 Sambell Street KENSINGTON VIC 3031,Kensington,Residential,1,144.9217,-37.79539,"-37.79539, 144.9217"
2019,536,111242,111242,25 Baulderstone Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92157,-37.79563,"-37.79563, 144.92157"
2019,536,111245,111245,19 Baulderstone Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92145,-37.7955,"-37.7955, 144.92145"
2019,536,111246,111246,15-17 Baulderstone Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92141,-37.79545,"-37.79545, 144.92141"
2019,536,111401,111401,1 Baulderstone Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92115,-37.79518,"-37.79518, 144.92115"
2019,536,111403,111403,5 Baulderstone Walk KENSINGTON VIC 3031,Kensington,Residential,2,144.92124,-37.79527,"-37.79527, 144.92124"
2019,538,103643,103643,47-49 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91939,-37.79621,"-37.79621, 144.91939"
2019,538,103644,103644,51-53 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91946,-37.79628,"-37.79628, 144.91946"
2019,538,103645,103645,55-57 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91952,-37.79635,"-37.79635, 144.91952"
2019,538,103649,103649,71-73 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91979,-37.79663,"-37.79663, 144.91979"
2019,538,109420,109420,2-4 Tankard Street KENSINGTON VIC 3031,Kensington,Residential,1,144.91961,-37.79608,"-37.79608, 144.91961"
2019,538,109424,109424,18-20 Tankard Street KENSINGTON VIC 3031,Kensington,Residential,1,144.91988,-37.79636,"-37.79636, 144.91988"
2019,538,109426,109426,26-28 Tankard Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92001,-37.79651,"-37.79651, 144.92001"
2019,538,109430,109430,17-19 Tankard Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92024,-37.79616,"-37.79616, 144.92024"
2019,538,109432,109432,9-11 Tankard Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92011,-37.79602,"-37.79602, 144.92011"
2019,538,111236,111236,48 Mercantile Parade KENSINGTON VIC 3031,Kensington,Residential,1,144.92044,-37.79603,"-37.79603, 144.92044"
2019,538,111238,111238,52 Mercantile Parade KENSINGTON VIC 3031,Kensington,Residential,1,144.92054,-37.79613,"-37.79613, 144.92054"
2019,538,556139,556139,56-58 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91917,-37.79656,"-37.79656, 144.91917"
2019,538,556142,556142,68-70 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91936,-37.79677,"-37.79677, 144.91936"
2019,538,570815,570815,19 Goldsbrough Walk KENSINGTON VIC 3031,Kensington,Residential,1,144.91908,-37.79691,"-37.79691, 144.91908"
2019,539,104828,104828,47-63 Hobsons Road KENSINGTON VIC 3031,Kensington,Private,38,144.91738,-37.79686,"-37.79686, 144.91738"
2019,540,556129,556129,6-8 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91833,-37.79561,"-37.79561, 144.91833"
2019,540,556136,556136,38-40 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91887,-37.79623,"-37.79623, 144.91887"
2019,540,563712,563712,12 Taylor Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91823,-37.7959,"-37.7959, 144.91823"
2019,540,563713,563713,10 Taylor Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91829,-37.79587,"-37.79587, 144.91829"
2019,540,563714,563714,8 Taylor Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91835,-37.79583,"-37.79583, 144.91835"
2019,540,565587,565587,9 Taylor Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91846,-37.79611,"-37.79611, 144.91846"
2019,540,565588,565588,11 Taylor Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91841,-37.79614,"-37.79614, 144.91841"
2019,540,565589,565589,13 Taylor Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91835,-37.79617,"-37.79617, 144.91835"
2019,540,565591,565591,17 Taylor Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91824,-37.79624,"-37.79624, 144.91824"
2019,541,103637,103637,17-19 Fairbairn Drive KENSINGTON VIC 3031,Kensington,Residential,1,144.91881,-37.79559,"-37.79559, 144.91881"
2019,541,106895,106895,16-18 Newman Street KENSINGTON VIC 3031,Kensington,Residential,1,144.91942,-37.79582,"-37.79582, 144.91942"
2019,541,110865,110865,42 McNamara Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.9189,-37.79542,"-37.79542, 144.9189"
2019,541,110866,110866,44 McNamara Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91894,-37.79546,"-37.79546, 144.91894"
2019,541,110937,110937,121 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.9191,-37.79515,"-37.79515, 144.9191"
2019,541,110938,110938,123 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91914,-37.7952,"-37.7952, 144.91914"
2019,541,111001,111001,135-137 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91961,-37.79542,"-37.79542, 144.91961"
2019,541,111002,111002,36-38 Newman Street KENSINGTON VIC 3031,Kensington,Residential,1,144.91987,-37.79556,"-37.79556, 144.91987"
2019,541,111003,111003,32-34 Newman Street KENSINGTON VIC 3031,Kensington,Residential,1,144.91978,-37.79561,"-37.79561, 144.91978"
2019,541,111004,111004,28-30 Newman Street KENSINGTON VIC 3031,Kensington,Residential,2,144.9197,-37.79566,"-37.79566, 144.9197"
2019,541,111006,111006,4 McNamara Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.9193,-37.79528,"-37.79528, 144.9193"
2019,541,111007,111007,6 McNamara Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91924,-37.79531,"-37.79531, 144.91924"
2019,541,111009,111009,10-16 McNamara Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91914,-37.79537,"-37.79537, 144.91914"
2019,541,111051,111051,19 McNamara Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91937,-37.79561,"-37.79561, 144.91937"
2019,541,111054,111054,27-29 McNamara Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.91918,-37.79573,"-37.79573, 144.91918"
2019,542,110884,110884,68 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91936,-37.79487,"-37.79487, 144.91936"
2019,542,110887,110887,78-80 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91963,-37.79494,"-37.79494, 144.91963"
2019,542,110889,110889,90-92 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91986,-37.79485,"-37.79485, 144.91986"
2019,542,110890,110890,94-96 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91989,-37.79479,"-37.79479, 144.91989"
2019,542,110891,110891,98-100 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.9199,-37.79472,"-37.79472, 144.9199"
2019,543,100906,100906,87 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,4,144.92163,-37.79461,"-37.79461, 144.92163"
2019,543,110869,110869,3 Matthews Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92094,-37.79462,"-37.79462, 144.92094"
2019,543,110870,110870,5 Matthews Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92098,-37.79467,"-37.79467, 144.92098"
2019,543,110976,110976,15 Matthews Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92094,-37.79487,"-37.79487, 144.92094"
2019,543,110979,110979,76-80 Newman Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92094,-37.79502,"-37.79502, 144.92094"
2019,543,111226,111226,53 Matthews Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92051,-37.7948,"-37.7948, 144.92051"
2019,543,111229,111229,47 Matthews Mews KENSINGTON VIC 3031,Kensington,Residential,1,144.92064,-37.79494,"-37.79494, 144.92064"
2019,543,502634,502634,91A Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92144,-37.79447,"-37.79447, 144.92144"
2019,543,502635,502635,91B Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92139,-37.79443,"-37.79443, 144.92139"
2019,543,556366,556366,167 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.92039,-37.79498,"-37.79498, 144.92039"
2019,543,556367,556367,169 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.92044,-37.79495,"-37.79495, 144.92044"
2019,543,556368,556368,171 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.9205,-37.79491,"-37.79491, 144.9205"
2019,543,558074,558074,66 Newman Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92071,-37.79509,"-37.79509, 144.92071"
2019,543,558076,558076,11 Mercantile Parade KENSINGTON VIC 3031,Kensington,Residential,1,144.92045,-37.79532,"-37.79532, 144.92045"
2019,544,100949,100949,109-111 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92089,-37.79401,"-37.79401, 144.92089"
2019,544,555941,555941,125 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92027,-37.7944,"-37.7944, 144.92027"
2019,544,556075,556075,101-103 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92057,-37.79426,"-37.79426, 144.92057"
2019,544,556078,556078,105 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92051,-37.79429,"-37.79429, 144.92051"
2019,544,556080,556080,109 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92039,-37.79437,"-37.79437, 144.92039"
2019,545,100910,100910,100 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,3,144.92151,-37.79384,"-37.79384, 144.92151"
2019,545,100921,100921,74 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92268,-37.79372,"-37.79372, 144.92268"
2019,545,100928,100928,50-60 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,4,144.92337,-37.79333,"-37.79333, 144.92337"
2019,545,100929,100929,46-48 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,6,144.92351,-37.79325,"-37.79325, 144.92351"
2019,545,110040,110040,31 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92321,-37.79286,"-37.79286, 144.92321"
2019,545,110049,110049,53 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92234,-37.79337,"-37.79337, 144.92234"
2019,545,110052,110052,59 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,2,144.9221,-37.79351,"-37.79351, 144.9221"
2019,545,110055,110055,67 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92182,-37.79367,"-37.79367, 144.92182"
2019,545,110057,110057,69 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92174,-37.79371,"-37.79371, 144.92174"
2019,545,111502,111502,73 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92145,-37.79371,"-37.79371, 144.92145"
2019,546,100934,100934,36 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92403,-37.79302,"-37.79302, 144.92403"
2019,546,101001,101001,6 Belmont Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92371,-37.79294,"-37.79294, 144.92371"
2019,546,101002,101002,4 Belmont Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92363,-37.79286,"-37.79286, 144.92363"
2019,546,101003,101003,2 Belmont Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92358,-37.7928,"-37.7928, 144.92358"
2019,546,110039,110039,29 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92326,-37.79276,"-37.79276, 144.92326"
2019,547,100939,100939,20-22 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,3,144.92462,-37.79259,"-37.79259, 144.92462"
2019,547,100944,100944,4-6 Bayswater Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92514,-37.79241,"-37.79241, 144.92514"
2019,547,101000,101000,5-7 Belmont Road KENSINGTON VIC 3031,Kensington,Residential,1,144.9242,-37.79257,"-37.79257, 144.9242"
2019,547,110029,110029,9 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92441,-37.79219,"-37.79219, 144.92441"
2019,547,627652,627652,47-49 Epsom Road KENSINGTON VIC 3031,Kensington,Residential,4,144.92534,-37.79217,"-37.79217, 144.92534"
2019,548,110084,110084,2-12 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,7,144.92471,-37.79151,"-37.79151, 144.92471"
2019,548,110315,110315,5 Woodruff Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92301,-37.79236,"-37.79236, 144.92301"
2019,548,110316,110316,7 Woodruff Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92297,-37.79233,"-37.79233, 144.92297"
2019,551,104115,104115,18 Gardner Lane KENSINGTON VIC 3031,Kensington,Residential,1,144.92221,-37.79203,"-37.79203, 144.92221"
2019,551,107572,107572,8 Peppercorn Walk KENSINGTON VIC 3031,Kensington,Residential,1,144.9227,-37.79211,"-37.79211, 144.9227"
2019,551,110321,110321,37 Woodruff Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92266,-37.79183,"-37.79183, 144.92266"
2019,551,110322,110322,41 Woodruff Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92258,-37.79174,"-37.79174, 144.92258"
2019,552,102273,102273,27-37 Graham Street KENSINGTON VIC 3031,Kensington,Residential,2,144.92119,-37.79269,"-37.79269, 144.92119"
2019,552,102276,102276,18 Graham Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92179,-37.79285,"-37.79285, 144.92179"
2019,552,110073,110073,88 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92184,-37.7931,"-37.7931, 144.92184"
2019,552,110075,110075,94 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92161,-37.79327,"-37.79327, 144.92161"
2019,552,110076,110076,96 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92153,-37.79331,"-37.79331, 144.92153"
2019,552,110077,110077,98 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,2,144.92146,-37.79335,"-37.79335, 144.92146"
2019,552,110288,110288,26 Crichton Lane KENSINGTON VIC 3031,Kensington,Residential,1,144.92173,-37.79254,"-37.79254, 144.92173"
2019,552,110295,110295,31 McTaggart Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92194,-37.79243,"-37.79243, 144.92194"
2019,552,110299,110299,17 McTaggart Street KENSINGTON VIC 3031,Kensington,Residential,1,144.9221,-37.79264,"-37.79264, 144.9221"
2019,552,110306,110306,19 Sherwin Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92154,-37.79258,"-37.79258, 144.92154"
2019,552,110307,110307,15 Sherwin Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92158,-37.79254,"-37.79254, 144.92158"
2019,552,110308,110308,11-13 Sherwin Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92162,-37.79247,"-37.79247, 144.92162"
2019,552,110309,110309,7-9 Sherwin Street KENSINGTON VIC 3031,Kensington,Residential,1,144.92171,-37.79242,"-37.79242, 144.92171"
2019,552,111511,111511,14 Birch Lane KENSINGTON VIC 3031,Kensington,Residential,1,144.92105,-37.79288,"-37.79288, 144.92105"
2019,552,111512,111512,16 Birch Lane KENSINGTON VIC 3031,Kensington,Residential,1,144.92095,-37.79284,"-37.79284, 144.92095"
2019,553,110060,110060,106-116 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,6,144.92093,-37.79352,"-37.79352, 144.92093"
2019,553,110302,110302,19-39 Cornish Lane KENSINGTON VIC 3031,Kensington,Residential,4,144.92053,-37.79339,"-37.79339, 144.92053"
2019,553,110817,110817,134-136 Westbourne Road KENSINGTON VIC 3031,Kensington,Residential,1,144.92036,-37.79397,"-37.79397, 144.92036"
2019,553,110819,110819,11-15 Hornsby Lane KENSINGTON VIC 3031,Kensington,Residential,1,144.92023,-37.79384,"-37.79384, 144.92023"
2019,555,110882,110882,107 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91886,-37.79489,"-37.79489, 144.91886"
2019,555,111230,111230,18 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,2,144.91852,-37.79497,"-37.79497, 144.91852"
2019,555,111231,111231,20 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,1,144.91846,-37.795,"-37.795, 144.91846"
2019,555,111233,111233,24 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,1,144.91837,-37.79506,"-37.79506, 144.91837"
2019,555,559222,559222,30 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,1,144.91821,-37.79515,"-37.79515, 144.91821"
2019,555,559223,559223,32 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,1,144.91816,-37.79518,"-37.79518, 144.91816"
2019,555,559224,559224,34 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,1,144.91811,-37.79521,"-37.79521, 144.91811"
2019,555,559226,559226,38 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,1,144.91802,-37.79526,"-37.79526, 144.91802"
2019,555,595012,595012,54-62 Bateman Road KENSINGTON VIC 3031,Kensington,Residential,35,144.91748,-37.79555,"-37.79555, 144.91748"
2019,556,558324,558324,23 Speakmen Street KENSINGTON VIC 3031,Kensington,Residential,2,144.91782,-37.79461,"-37.79461, 144.91782"
2019,556,558327,558327,29 Speakmen Street KENSINGTON VIC 3031,Kensington,Residential,2,144.91761,-37.79458,"-37.79458, 144.91761"
2019,556,558328,558328,31 Speakmen Street KENSINGTON VIC 3031,Kensington,Residential,2,144.91753,-37.79457,"-37.79457, 144.91753"
2019,556,573371,573371,9 Reynolds Lane KENSINGTON VIC 3031,Kensington,Residential,1,144.91812,-37.79478,"-37.79478, 144.91812"
2019,556,573436,573436,235 Stockmans Way KENSINGTON VIC 3031,Kensington,Residential,2,144.91712,-37.79482,"-37.79482, 144.91712"
2019,556,573438,573438,231 Stockmans Way KENSINGTON VIC 3031,Kensington,Residential,2,144.91714,-37.79471,"-37.79471, 144.91714"
2019,556,578673,578673,221 Stockmans Way KENSINGTON VIC 3031,Kensington,Residential,1,144.91719,-37.79445,"-37.79445, 144.91719"
2019,557,111011,111011,44-50 The Crescent KENSINGTON VIC 3031,Kensington,Residential,1,144.91892,-37.79437,"-37.79437, 144.91892"
